Name;WHORegion;Casescumulativetotal;Casescumulativetotalper100000population;Casesnewlyreportedinlast7days;Casesnewlyreportedinlast7daysper100000population;Casesnewlyreportedinlast24hours;Deathscumulativetotal;Deathscumulativetotalper100000population;Deathsnewlyreportedinlast7days;Deathsnewlyreportedinlast7daysper100000population;Deathsnewlyreportedinlast24hours
Cabo Verde;Africa;64401;11583184;0;0;0;415;74642;0;0;0
Sudan;Eastern Mediterranean;63993;145939;0;0;0;5046;11508;0;0;0
Mauritania;Africa;63757;1371219;0;0;0;997;21442;0;0;0
Bhutan;South-East Asia;62697;8125499;0;0;0;21;2722;0;0;0
Syrian Arab Republic;Eastern Mediterranean;57423;328119;0;0;0;3163;18074;0;0;0
Burundi;Africa;54241;45616;0;0;0;15;126;0;0;0
Guam;Western Pacific;52006;30813805;47;27848;0;416;246482;0;0;0
Seychelles;Africa;50937;51793141;0;0;0;172;174891;0;0;0
Gabon;Africa;48992;2201162;0;0;0;307;13793;0;0;0
Andorra;Europe;48015;62143273;0;0;0;159;205785;0;0;0
Papua New Guinea;Western Pacific;46864;523794;0;0;0;670;7489;0;0;0
Curaçao;Americas;45883;27961583;0;0;0;305;18587;0;0;0
Aruba;Americas;44224;41421426;0;0;0;292;273495;0;0;0
United Republic of Tanzania;Africa;43078;72116;0;0;0;846;1416;0;0;0
Mayotte;Africa;42027;15404945;0;0;0;187;68545;0;0;0
Togo;Africa;39514;477296;0;0;0;290;3503;0;0;0
Guinea;Africa;38563;293639;0;0;0;468;3564;0;0;0
Bahamas;Americas;38084;9684572;0;0;0;844;214625;0;0;0
Isle of Man;Europe;38008;44698466;0;0;0;116;136419;0;0;0
Guernsey;Europe;35326;54796178;0;0;0;67;103928;0;0;0
Faroe Islands;Europe;34658;70926021;0;0;0;28;57301;0;0;0
Lesotho;Africa;34490;160999;0;0;0;706;32956;0;0;0
Haiti;Americas;34323;301012;0;0;0;860;7542;0;0;0
Mali;Africa;33152;163707;0;0;0;743;3669;0;0;0
Cayman Islands;Americas;31472;4788801;0;0;0;37;56299;0;0;0
Saint Lucia;Americas;30122;16403906;0;0;0;409;222734;0;0;0
Benin;Africa;28036;231259;0;0;0;163;1345;0;0;0
Somalia;Eastern Mediterranean;27334;171985;0;0;0;1361;8563;0;0;0
Micronesia (Federated States of);Western Pacific;26547;23079732;0;0;0;65;5651;0;0;0
United States Virgin Islands;Americas;25389;24313143;0;0;0;132;126407;0;0;0
Congo;Africa;25196;456608;0;0;0;389;705;0;0;0
San Marino;Europe;24518;72243503;0;0;0;126;371265;0;0;0
Timor-Leste;South-East Asia;23460;1779369;0;0;0;138;10467;0;0;0
Burkina Faso;Africa;22056;105515;0;0;0;396;1894;0;0;0
Solomon Islands;Western Pacific;21611;3146237;0;0;0;153;22275;0;0;0
Liechtenstein;Europe;21488;55457197;0;0;0;87;224534;0;0;0
Gibraltar;Europe;20550;60995518;0;0;0;113;335401;0;0;0
Grenada;Americas;19693;17501311;0;0;0;238;211512;0;0;0
Bermuda;Americas;18860;30285999;0;0;0;165;264962;0;0;0
South Sudan;Africa;18368;164092;0;0;0;138;1233;0;0;0
Tajikistan;Europe;17786;186482;0;0;0;125;1311;0;0;0
Equatorial Guinea;Africa;17130;1220968;0;0;0;183;13044;0;0;0
Monaco;Europe;16975;4325502;0;0;0;67;170727;0;0;0
Tonga;Western Pacific;16825;15918445;0;0;0;12;11353;0;0;0
Samoa;Western Pacific;16778;8456057;0;0;0;31;15624;0;0;0
Marshall Islands;Western Pacific;16133;27254451;0;0;0;17;28719;0;0;0
Nicaragua;Americas;16038;242099;0;0;0;245;3698;0;0;0
Dominica;Americas;15760;21891625;0;0;0;74;102791;0;0;0
Djibouti;Eastern Mediterranean;15690;1588057;0;0;0;189;1913;0;0;0
Central African Republic;Africa;15367;318173;0;0;0;113;234;0;0;0
Northern Mariana Islands (Commonwealth of the);Western Pacific;14274;24799764;0;0;0;41;71234;0;0;0
Gambia;Africa;12626;522455;0;0;0;372;15393;0;0;0
Saint Martin;Americas;12324;31878735;0;0;0;46;118989;0;0;0
Vanuatu;Western Pacific;12019;3913135;0;0;0;14;4558;0;0;0
Greenland;Europe;11971;21086099;0;0;0;21;3699;0;0;0
Yemen;Eastern Mediterranean;11945;40049;0;0;0;2159;7239;0;0;0
Sint Maarten;Americas;11051;2577072;0;0;0;92;214542;0;0;0
Eritrea;Africa;10189;287304;0;0;0;103;2904;0;0;0
Bonaire;Americas;9864;47162324;0;0;0;33;157781;0;0;0
Saint Vincent and the Grenadines;Americas;9642;8691184;0;0;0;124;111772;0;0;0
Guinea-Bissau;Africa;9614;488516;0;0;0;177;8994;0;0;0
Niger;Africa;9515;39307;0;0;0;315;1301;0;0;0
Comoros;Africa;9109;1047492;0;0;0;160;18399;0;0;0
Antigua and Barbuda;Americas;9106;9298573;0;0;0;146;149088;0;0;0
American Samoa;Western Pacific;8341;15111329;0;0;0;34;61598;0;0;0
Liberia;Africa;7930;156791;0;0;0;294;5813;0;0;0
Sierra Leone;Africa;7766;97355;0;0;0;125;1567;0;0;0
Chad;Africa;7698;46865;0;0;0;194;1181;0;0;0
British Virgin Islands;Americas;7305;24159143;0;0;0;64;211661;0;0;0
Cook Islands;Western Pacific;7158;40753815;0;0;0;2;11387;0;0;0
Turks and Caicos Islands;Americas;6630;17123818;0;0;0;39;100728;0;0;0
Saint Kitts and Nevis;Americas;6607;12421041;0;0;0;46;86479;0;0;0
Sao Tome and Principe;Africa;6597;3010143;0;0;0;80;36503;0;0;0
Palau;Western Pacific;6235;34462746;0;0;0;9;49746;0;0;0
Saint Barthélemy;Americas;5507;55710673;0;0;0;5;50582;0;0;0
Nauru;Western Pacific;5393;49778475;0;0;0;1;923;0;0;0
Kiribati;Western Pacific;5085;4257047;0;0;0;24;20092;0;0;0
Anguilla;Americas;3904;26023197;0;0;0;12;79989;0;0;0
Wallis and Futuna;Western Pacific;3550;31566779;0;0;0;8;71136;0;0;0
Saint Pierre and Miquelon;Americas;3426;59119931;0;0;0;2;34513;0;0;0
Tuvalu;Western Pacific;2943;24957598;0;0;0;1;848;0;0;0
Saint Helena, Ascension and Tristan da Cunha;Africa;2166;35677813;0;0;0;0;0;0;0;0
Falkland Islands (Malvinas);Americas;1923;55211025;0;0;0;0;0;0;0;0
Montserrat;Americas;1403;28065613;0;0;0;8;160032;0;0;0
Sint Eustatius;Americas;1221;38897738;0;0;0;6;191144;0;0;0
Niue;Western Pacific;887;54820766;0;0;0;0;0;0;0;0
Saba;Americas;837;43300569;0;0;0;2;103466;0;0;0
Other;Other;764;;0;;0;13;;0;;0
Tokelau;Western Pacific;80;5925926;0;0;0;0;0;0;0;0
Holy See;Europe;26;3213844;0;0;0;0;0;0;0;0
Pitcairn Islands;Western Pacific;4;8000;0;0;0;0;0;0;0;0
Democratic People's Republic of Korea;South-East Asia;0;0;0;0;0;0;0;0;0;0
Turkmenistan;Europe;0;0;0;0;0;0;0;0;0;0
